Date,Operating Revenue,Revenue,Cost of Goods Sold,Gross Profit,Research and Development Expense,SG&A Expense,General and Administrative Expense,Sales and Marketing Expense,Rent and Landing Expense,Income Statement Depreciation,Reconciled Depreciation,Amortization Expense,Amortization of Intangibles,Provision for Doubtful Accounts,Other Operating Expenses,Total Operating Expenses,Operating Income,Other Income and Expenses,Other Comprehensive Income (Quarterly),Special Income and Charges,Net Interest Income,Income from Continuing Operations,Income from Discontinued Operations,"Extraordinary Items, Income Statement",Investment Write Off,Total Interest Expense (Quarterly),Non-Operating Income,Non-Operating Interest Income,Non-Operating Interest Expense,Net Non-Operating Interest Income Expense,Pre-Tax Income,Excise Taxes,Non Income Taxes,Provision for Income Taxes,Income Attributable to Minority Interest,Net Income,Normalized Income,Total Expenses,EBIT,EBITDA,EBITDA Margin (Quarterly),EPS Basic from Accounting Change,EPS Basic from Continuing Operations,EPS Basic from Discontinued Operations,EPS Basic from Extraordinaries,EPS Basic from Other Gains / Loss,EPS Basic from Tax Loss Carryforward,EPS Basic,EPS Diluted from Accounting Change,EPS Diluted from Continuing Operations,EPS Diluted from Discontinued Operations,EPS Diluted from Extraordinaries,EPS Diluted from Other Gain/Loss,EPS Diluted from Tax Loss Carryforward,EPS Diluted,Normalized Basic EPS,Normalized Diluted EPS,Dividend Per Share,Preferred Stock Dividend,Average Basic Shares Outstanding,Average Diluted Shares Outstanding
1989-06-01,13700000.0,13700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13700000.0,0.0,0.0,0.0,0.0,800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800000.0,0.0,0.0,13700000.0,13700000.0,100.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,149570000.0,149570000.0
1989-09-01,17300000.0,17300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17300000.0,0.0,0.0,0.0,0.0,1100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100000.0,0.0,0.0,17300000.0,17300000.0,100.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,149570000.0,149570000.0
1989-12-01,23500000.0,23500000.0,12300000.0,11200000.0,0.0,6800000.0,0.0,0.0,0.0,0.0,300000.0,0.0,0.0,0.0,0.0,7100000.0,4099999.9999999995,200000.0,0.0,200000.0,0.0,2800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4300000.0,0.0,0.0,1500000.0,0.0,2800000.0,2670000.0,19400000.0,4099999.9999999995,4400000.0,18.72,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0191,0.0191,0.0,0.0,140000000.0,140000000.0
1990-03-01,17900000.0,17900000.0,9400000.0,8500000.0,0.0,6400000.0,0.0,0.0,0.0,0.0,300000.0,0.0,0.0,0.0,0.0,6700000.0,1800000.0,500000.0,0.0,500000.0,0.0,1400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300000.0,0.0,0.0,900000.0,0.0,1400000.0,1096000.0,16100000.000000002,1800000.0,2100000.0,11.73,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0078,0.0078,0.0,0.0,139050000.0,139050000.0
1990-06-01,17000000.0,17000000.0,9200000.0,7800000.0,0.0,6100000.0,0.0,0.0,0.0,0.0,300000.0,0.0,0.0,0.0,0.0,6400000.0,1400000.0,400000.0,0.0,400000.0,0.0,1200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900000.0,0.0,0.0,700000.0,0.0,1200000.0,947400.0,15600000.0,1400000.0,1700000.0,10.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0079,0.0079,0.0,0.0,120000000.0,120000000.0
1990-09-01,24300000.0,24300000.0,14000000.0,10300000.0,0.0,7600000.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,8000000.0,2300000.0,400000.0,0.0,400000.0,0.0,1700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600000.0,0.0,0.0,900000.0,0.0,1700000.0,1438000.0,22000000.0,2300000.0,2700000.0,11.11,0.0,0.015,0.0,0.0,0.0,0.0,0.015,0.0,0.015,0.0,0.0,0.0,0.0,0.015,0.0127,0.0127,0.0,0.0,113330000.0,113330000.0
1990-12-01,35200000.0,35200000.0,19500000.0,15700000.0,0.0,9500000.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,9800000.0,5900000.0,200000.0,0.0,200000.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6100000.0,0.0,0.0,2100000.0,0.0,4000000.0,3869000.0,29300000.0,5900000.0,6300000.0,17.9,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.029,0.029,0.0,0.0,133330000.00000001,133330000.00000001
1991-03-01,25200000.0,25200000.0,14400000.0,10800000.0,0.0,7300000.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,7700000.0,3100000.0,200000.0,0.0,200000.0,0.0,2200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200000.0,0.0,0.0,1000000.0,0.0,2200000.0,2061999.9999999998,22100000.0,3100000.0,3500000.0,13.89,0.0,0.015,0.0,0.0,0.0,0.0,0.015,0.0,0.015,0.0,0.0,0.0,0.0,0.015,0.0141,0.0141,0.0,0.0,146670000.0,146670000.0
1991-06-01,23900000.0,23900000.0,12600000.0,11300000.0,0.0,9000000.0,0.0,0.0,0.0,0.0,300000.0,0.0,0.0,0.0,0.0,9300000.0,2000000.0,400000.0,0.0,400000.0,0.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400000.0,0.0,0.0,800000.0,0.0,1600000.0,1333000.0,21900000.0,2000000.0,2300000.0,9.62,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0083,0.0083,0.0,0.0,160000000.0,160000000.0
1991-09-01,33000000.0,33000000.0,16800000.0,16200000.0,0.0,11900000.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,12400000.0,3800000.0,300000.0,0.0,300000.0,0.0,2700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200000.0,0.0,0.0,1500000.0,0.0,2700000.0,2507000.0,29200000.0,3800000.0,4300000.0,13.03,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0186,0.0186,0.0,0.0,135000000.0,135000000.0
1991-12-01,59100000.0,59100000.0,32600000.0,26500000.0,0.0,15600000.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,16100000.000000002,10400000.0,200000.0,0.0,200000.0,0.0,6800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500000.0,0.0,0.0,3700000.0,0.0,6800000.0,6670000.0,48700000.0,10400000.0,11000000.0,18.61,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0392,0.0392,0.0,0.0,170000000.0,170000000.0
1992-03-01,45400000.0,45400000.0,23300000.0,22100000.0,0.0,15000000.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,15400000.0,6700000.0,600000.0,0.0,600000.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7300000.0,0.0,0.0,2500000.0,0.0,4800000.0,4405000.0,38700000.0,6700000.0,7100000.0,15.64,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.0275,0.0275,0.0,0.0,157980000.0,157980000.0
1992-06-01,45200000.0,45200000.0,23300000.0,21900000.0,0.0,15400000.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,16000000.0,5900000.0,400000.0,0.0,400000.0,0.0,4099999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6300000.0,0.0,0.0,2200000.0,0.0,4099999.9999999995,3840000.0,39300000.0,5900000.0,6500000.0,14.38,0.0,0.025,0.0,0.0,0.0,0.0,0.025,0.0,0.025,0.0,0.0,0.0,0.0,0.025,0.0234,0.0234,0.0,0.0,164000000.0,164000000.0
1992-09-01,54600000.0,54600000.0,27600000.0,27000000.0,0.0,20100000.0,0.0,0.0,0.0,0.0,300000.0,0.0,0.0,0.0,0.0,20400000.0,6600000.0,900000.0,0.0,900000.0,0.0,5200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7400000.0,0.0,0.0,2200000.0,0.0,5200000.0,4568000.0,48000000.0,6600000.0,6900000.0,12.64,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.0264,0.0264,0.0,0.0,173330000.0,173330000.0
1992-12-01,107100000.0,107100000.0,60400000.0,46700000.0,0.0,29500000.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,30500000.0,16200000.0,600000.0,0.0,600000.0,0.0,12300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17400000.0,0.0,0.0,5100000.0,500000.0,12300000.0,11880000.0,90900000.0,16200000.0,17200000.0,16.06,0.0,0.065,0.0,0.0,0.0,0.0,0.065,0.0,0.065,0.0,0.0,0.0,0.0,0.065,0.0628,0.0628,0.0,0.0,189230000.0,189230000.0
1993-03-01,86600000.0,86600000.0,43400000.0,43200000.0,0.0,29400000.0,0.0,0.0,0.0,0.0,2100000.0,0.0,0.0,0.0,0.0,31500000.0,11700000.0,700000.0,0.0,700000.0,0.0,8600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12400000.0,0.0,0.0,3800000.0,100000.0,8600000.0,8115000.0,74900000.0,11700000.0,13800000.0,15.94,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0377,0.0377,0.0,0.0,213890000.0,213890000.0
1993-06-01,79500000.0,79500000.0,40200000.0,39300000.0,0.0,28100000.0,0.0,0.0,0.0,0.0,1400000.0,0.0,0.0,0.0,0.0,29500000.0,9800000.0,700000.0,0.0,700000.0,0.0,7300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10600000.0,0.0,0.0,3300000.0,0.0,7300000.0,6818000.0,69700000.0,9800000.0,11200000.0,14.09,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0374,0.0374,0.0,0.0,182500000.0,182500000.0
1993-09-01,82100000.0,82100000.0,40100000.0,42000000.0,0.0,30200000.0,0.0,0.0,0.0,0.0,1900000.0,0.0,0.0,0.0,0.0,31900000.0,10100000.0,1200000.0,0.0,1200000.0,0.0,8000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11500000.0,0.0,0.0,3500000.0,200000.0,8000000.0,7165000.0,72000000.0,10100000.0,12000000.0,14.62,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0358,0.0358,0.0,0.0,200000000.0,200000000.0
1993-12-01,149500000.0,149500000.0,82800000.0,66700000.0,0.0,40500000.0,0.0,0.0,0.0,0.0,2200000.0,0.0,0.0,0.0,0.0,42300000.0,24400000.0,800000.0,0.0,800000.0,0.0,18100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25700000.0,0.0,0.0,7600000.0,500000.0,18100000.0,17540000.0,125100000.0,24400000.0,26600000.0,17.79,0.0,0.09,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.09,0.0872,0.0872,0.0,0.0,201110000.0,201110000.0
1994-03-01,107200000.0,107200000.0,54200000.0,53000000.0,0.0,-28200000.0,0.0,0.0,0.0,0.0,2400000.0,0.0,0.0,0.0,0.0,36800000.0,16200000.0,1100000.0,0.0,1100000.0,0.0,11200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16399999.999999998,0.0,0.0,5200000.0,-900000.0,11200000.0,10450000.0,91000000.0,16200000.0,18600000.0,17.35,0.0,0.06,0.0,0.0,0.0,0.0,0.06,0.0,0.045,0.0,0.0,0.0,0.0,0.045,0.056,0.0419,0.0,0.0,186210000.0,240450000.0
1994-06-01,74200000.0,74200000.0,35800000.0,38400000.0,13800000.0,14800000.0,0.0,0.0,0.0,0.0,2300000.0,0.0,0.0,0.0,0.0,30900000.0,7500000.0,9300000.0,0.0,9300000.0,0.0,11800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16900000.0,0.0,0.0,5100000.0,100000.0,11800000.0,5307000.0,66700000.0,7500000.0,9800000.0,13.21,0.0,0.06,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.06,0.027,0.027,0.0,0.0,196670000.0,196670000.0
1994-09-01,86300000.0,86300000.0,41800000.0,44500000.0,15900000.0,19400000.0,0.0,0.0,0.0,0.0,2600000.0,0.0,0.0,0.0,0.0,37900000.0,6600000.0,1400000.0,0.0,1400000.0,0.0,6700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9300000.0,0.0,0.0,2600000.0,1300000.0,6700000.0,5691000.0,79700000.0,6600000.0,9200000.0,10.66,0.0,0.035,0.0,0.0,0.0,0.0,0.035,0.0,0.035,0.0,0.0,0.0,0.0,0.035,0.0297,0.0297,0.0,0.0,191430000.0,191430000.0
