Title,Release date,Developer(s),Genre
The Standing Stones,1983-01-01,Peter Schmuckal / Daniel B. Sommers,Puzzle
Archon: The Light and the Dark,1983-01-01,Free Fall Associates,Strategy
Murder on the Zinderneuf,1983-01-01,Free Fall Associates,Board
D-Bug,1983-01-01,ChildWare,Arcade
Worms?,1983-01-01,David Maynard,Strategy
One on One: Dr. J vs. Larry Bird,1983-01-01,Electronic Arts,Sports
M.U.L.E.,1983-01-01,Ozark Softscape,Simulator
Hard Hat Mack,1983-01-01,Michael Abbot / Matthew Alexander,Platformer
Pinball Construction Set,1983-01-01,BudgeCo,Simulator
Axis Assassin,1983-01-01,Electronic Arts,Action
Skyfox,1984-01-01,Ray Tobey,Flight
Mike Edwards' Realm of Impossibility,1984-01-01,BRAM,Action
The Seven Cities of Gold,1984-01-01,Ozark Softscape,Adventure
Adventure Construction Set,1984-01-01,Stuart Smith,Adventure
Music Construction Set,1984-01-01,Will Harvey / Richard Plom,Simulator
Archon II: Adept,1984-01-01,Free Fall Associates,Strategy
Hard Hat Mack,1984-01-01,Michael Abbot / Matthew Alexander,Platformer
Racing Destruction Set,1985-01-01,Rick Koenig,Racing
Alternate Reality: The City,1985-01-01,Philip Price,RPG
Movie maker,1985-01-01,Electronic Arts,Simulator
Skyfox,1985-01-01,Ray Tobey,Flight
Adventure Construction Set,1985-01-01,Stuart Smith,RPG
Golden Oldies Volume 1: Computer Software Classics,1985-01-01,The Software Toolworks,Compilation
Richard Petty's Talladega,1985-01-01,Cosmi,Racing
The Bard's Tale,1985-01-01,Interplay Productions,RPG
Mail Order Monsters,1985-01-01,Paul Reiche III / Evan Robinson / Nicky Robinson,Strategy
Lords of Conquest,1985-01-01,Eon Software,Strategy
The Seven Cities of Gold,1985-01-01,Ozark Softscape,Adventure
Pinball Construction Set,1985-01-01,BudgeCo,Simulator
Heart of Africa,1985-01-01,Ozark Softscape,Adventure 
Age of Adventure,1986-01-01,Electronic Arts,Adventure
World Tour Golf,1986-01-01,Evan Robinson / Nicky Robinson / Paul Reiche III,Simulator
