Name,Price,Rating,Follows,Online,Peak
Plants vs. Zombies GOTY Edition,1050,96.16,104995,3915,16225
Peggle Deluxe,399,94.11,2886,242,442
Titanfall® 2,1872,94.08,189412,3653,27631
It Takes Two,5599,93.73,409771,6024,32685
Insaniquarium Deluxe,210,93.21,5716,120,277
Bejeweled® 3,210,92.73,3863,494,1415
Feeding Frenzy 2 Deluxe,210,92.48,2521,32,132
Peggle™ Nights,399,92.09,2042,91,211
Dead Space™ 2,530,91.94,34335,183,2484
F1® 2020,0,91.78,41415,335,24010
Mass Effect 2 (2010 Edition),0,91.71,34084,20,13320
Command & Conquer™ 3: Kane’s Wrath,5300,91.58,11098,669,971
Zuma Deluxe,210,91.54,5071,759,928
Mass Effect (2007),3629,91.32,30128,33,4183
SPORE™,662,90.75,85792,1265,5630
Zuma's Revenge!,210,90.57,3002,276,336
Overlord™,231,90.31,10394,112,2303
Peggle Extreme,0,89.85,842,11,165
F1 2012™,0,89.73,6167,24,3654
Dead Space (2008),1060,89.66,24567,94,2305
Mass Effect™ Legendary Edition,1999,89.57,119341,6806,59817
Dungeon Keeper™ 2,799,89.46,1561,180,930
Dragon Age: Origins,0,89.26,32447,22,7089
Dead Space,6999,88.96,105592,1294,30925
Overlord™: Raising Hell,370,88.82,4427,93,1354
Command & Conquer™ Remastered Collection,2449,88.79,101354,1159,42587
DeathSpank,600,88.58,1929,7,434
STAR WARS™: The Old Republic™,0,88.36,240871,6398,34210
Chuzzle Deluxe,210,88.34,933,91,123
Bejeweled 2 Deluxe,210,88.11,767,53,73
Command & Conquer Red Alert™ 2 and Yuri’s Revenge™,5300,88.09,8814,1504,6617
F1® 2019,0,87.87,26738,109,12736
STAR WARS Jedi: Fallen Order™,1550,87.79,201370,5893,46550
Plants vs. Zombies™ Garden Warfare 2: Deluxe Edition,3299,87.79,32013,1159,4888
Command & Conquer 3 Tiberium Wars™,5300,87.59,16659,687,1305
Alice: Madness Returns,599,87.49,51162,614,969
Unravel,1749,87.45,11105,58,327
Sid Meier's Alpha Centauri™ Planetary Pack,799,87.41,1153,57,282
Dungeon Keeper Gold™,799,87.16,1350,66,378
Super Mega Baseball 3,5250,87.08,5675,31,814
F1 2018,0,86.88,26141,200,9809
Dragon Age: Origins - Ultimate Edition,1650,86.84,33774,1118,8364
The Saboteur™,1999,86.69,5750,206,1205
The Sims™ 4,0,86.53,343947,39317,96328
DiRT Rally,0,86.37,123869,150,20343
DiRT Rally 2.0,825,86.13,100160,1427,3533
STAR WARS™ Battlefront™ II,1860,85.95,62504,4397,10489
Mirror's Edge™,1749,85.9,43034,93,3805
SPORE™ Galactic Adventures,662,85.88,14031,226,1517
Lost in Random™,1649,85.86,19576,93,508
Overlord II,370,85.86,11621,106,1702
Kingdoms of Amalur: Reckoning™,0,85.85,36348,36,12800
A Way Out,2340,85.81,72387,1756,3055
Battlefield™ 1,2325,85.49,126191,8084,53714
SPORE™ Creepy & Cute Parts Pack,662,85.33,6159,83,528
The Sims™ 3,1325,85.25,105194,2251,10505
Battlefield 4™,2325,85.11,46520,2164,12425
Burnout Paradise: The Ultimate Box,0,85.07,16564,33,6284
Super Mega Baseball: Extra Innings,2150,84.99,2989,10,310
Command & Conquer™ Tiberian Sun™ and Firestorm™,5300,84.62,1539,261,925
F1™ 2017,0,84.53,32262,47,8111
Command & Conquer™ Generals Zero Hour,5300,84.5,3904,1357,2353
F1® 2021,0,84.15,39758,318,25575
Need for Speed™ Payback,1755,84.15,28648,1142,12152
Super Mega Baseball 2,0,84.06,5408,7,487
F1® 23,22999,84.05,34133,4494,14512
Dragon Age™: Origins Awakening,0,83.87,10975,0,9
Battlefield: Bad Company™ 2,0,83.66,79395,38,21923
